id,company,latitude,longitude,SIC,rev,norm_rev
752,Jones Financial,38.604373,-90.446569,Other,6278000000,0.012926978426895
650,Discovery Communications,38.995256,-77.028289,Communications,6265000000,0.0129002102332745
690,Fifth Third Bancorp,39.095413,-84.388129,Depository Institutions,6265000000,0.0129002102332745
713,Harley-Davidson,43.046097,-87.959986,Transportation Equipment,6229000000,0.0128260829278638
895,Sanmina,37.390027,-121.929548,Other,6215000000,0.0127972556424264
939,Trinity Industries,32.805523,-96.840035,Transportation Equipment,6170000000,0.012704596510663
744,J.B. Hunt Transport Services,36.245394,-94.149142,Other,6165000000,0.0126943010515782
674,Erie Insurance Group,42.130378,-80.082853,Insurance Carriers,6124000000,0.0126098782870827
556,Ashland,39.090342,-84.510194,Chemicals and Allied Products,6121000000,0.0126037010116318
657,Dr Pepper Snapple Group,33.077788,-96.806058,Other,6121000000,0.0126037010116318
792,Mattel,33.920462,-118.39168,Other,6024000000,0.0124039691053864
766,Laboratory Corp. of America,36.093178,-79.437378,Other,6012000000,0.0123792600035828
923,TEGNA,38.932246,-77.219085,Communications,6008000000,0.012371023636315
607,Charles Schwab,37.790588,-122.392835,Other,5985000000,0.0123236645245248
197,General Cable,40.752684,-73.975902,Miscellaneous Manufacturing Industries,5980000000,0.01231336906544
511,A-Mark Precious Metals,34.017199,-118.494759,Other,5979000000,0.012311309973623
707,Graybar Electric,38.651466,-90.338962,Other,5979000000,0.012311309973623
669,Energy Future Holdings,32.783234,-96.799094,Other,5978000000,0.0123092508818061
808,MRC Global,29.756448,-95.363164,Other,5933000000,0.0122165917500427
904,Spectra Energy,29.740411,-95.473116,Other,5903000000,0.0121548189955338
807,Motorola Solutions,42.062252,-88.05247,Other,5881000000,0.0121095189755606
555,Asbury Automotive Group,34.005757,-84.093159,Other,5868000000,0.0120827507819401
847,Packaging Corp. of America,42.243129,-87.894461,Other,5853000000,0.0120518644046857
535,Ameren,38.622444,-90.209559,Other,5838000000,0.0120209780274312
981,Windstream Holdings,34.789227,-92.39899,Communications,5830000000,0.0120045052928955
873,PulteGroup,33.847682,-84.368186,Other,5822000000,0.0119880325583598
750,JetBlue Airways,40.750934,-73.938598,Other,5817000000,0.011977737099275
625,Con-way,42.305662,-83.684197,Other,5806000000,0.0119550870892884
592,Calumet Specialty Products Partners,39.805634,-86.278623,Petroleum and Coal Products,5791000000,0.011924200712034
679,Expedia,47.613394,-122.197016,Other,5763000000,0.011866546141159
820,Newell Rubbermaid,33.935429,-84.360076,Other,5727000000,0.0117924188357483
936,Tractor Supply,36.032478,-86.813115,Other,5712000000,0.0117615324584939
948,United Rentals,41.044545,-73.548184,Business Services,5685000000,0.0117059369794359
738,Ingredion,41.845396,-87.905286,Other,5668000000,0.0116709324185475
540,American Financial Group,39.099849,-84.506986,Insurance Carriers,5631000000,0.0115947460213198
796,MeadWestvaco,37.536017,-77.441874,Other,5631000000,0.0115947460213198
906,St. Jude Medical,45.012459,-93.100866,Other,5622000000,0.0115762141949672
746,J.M. Smucker,40.847539,-81.762334,Other,5611000000,0.0115535641849806
976,Western Union,39.5466,-104.844573,Depository Institutions,5607000000,0.0115453278177127
729,HRG Group,40.761507,-73.971308,Other,5568000000,0.0114650232368512
655,Domtar,45.506802,-73.569302,Other,5563000000,0.0114547277777663
757,Kelly Services,42.560811,-83.166191,Business Services,5563000000,0.0114547277777663
836,Old Republic International,41.887087,-87.624174,Insurance Carriers,5531000000,0.0113888368396235
616,Clorox,37.803511,-122.272318,Chemicals and Allied Products,5514000000,0.0113538322787351
514,Advanced Micro Devices,37.386565,-121.999351,Other,5506000000,0.0113373595441994
818,Netflix,37.259617,-121.962643,Other,5505000000,0.0113353004523825
582,Booz Allen Hamilton Holding,38.9226,-77.231923,Business Services,5479000000,0.0112817640651414
984,Wynn Resorts,36.126595,-115.165365,Other,5434000000,0.0111891049333781
753,Jones Lang LaSalle,41.885283,-87.621512,Other,5430000000,0.0111808685661102
606,CH2M,39.549174,-104.867832,Other,5413000000,0.0111458640052219
777,Lithia Motors,42.328364,-122.87266,Other,5390000000,0.0110985048934317
521,AGL Resources,33.780909,-84.387112,Other,5385000000,0.0110882094343469
727,Host Hotels & Resorts,39.027239,-77.139872,Other,5380000000,0.0110779139752621
893,salesforce.com,37.79396,-122.39496,Business Services,5374000000,0.0110655594243603
