"year","Albania","Australia","Austria","Belgium","Bulgaria","Denmark","France","Germany","Greece","India","Ireland","Italy","Japan","Netherlands","New Zealand","Norway","Philippines","Portugal","South Africa","Russia","Spain","Sweden","Switzerland","Turkey","United Kingdom","United States","Yugoslavia"
1907,1757.91910585791,24607.792813,46691.515799,13675,3527.06578749763,11423.08727,107514,212057.484201,5207.45833446109,20478,11478,67219,12421,21124,4985.211359613,9673.0557,2067,10705,8662,413905,44313,18838.8905754,9264,34914.2237449521,152498,457216,
1908,1671.62125884307,24276.007954,47970.790062993,13561,3353.91892156593,11832.413372,110899,208240.024959,4951.81947076937,20159,8988,71724,10785,19612,4917.996162354,10019.67252,2241,10568,6796,446151,43702,19513.94885544,8342,33200.252761109,119408,357823,
1909,1776.28104382819,24421.527629,48095.7517533343,14862,3563.90693848764,12393.341734,115129,208204.784352,5261.85163765778,20873,9544,70444,9232,19048,4947.476512029,10494.66594,2642,11367,7781,481796,43918,20439.02872068,8477,35278.9122044773,126805,412700,
1910,2177.24314934613,26231.792386,50114.0530168592,15655,4368.3920366601,13064.96835,112303,215061.950835,6449.61588188533,24855,9151,78182,14527,19559,5314.212061986,11063.3985,4120,11613,10523,505066,52020,21546.671517,8522,43242.4644627416,121575,421971,
1911,2759.93299619692,28345.569608,51875.5890192677,16535,5537.49328637128,12796.946996,111566,219706.335018,8175.70958510392,26582,9042,94308,20820,20347,5742.435198408,10836.43836,14366,13732,11888,504489,61229,21104.65222392,8394,54815.3312795749,120131,412519,
1912,2886.67276698289,25384.452107,53990.0531336514,18330,5791.78229657937,13135.334682,123833,228579.592041,8551.1489744864,36481,9636,110792,33894,22693,5142.552197307,11122.98462,17714,16491,12944,570371,75413,21662.71927164,8790,57332.5237373278,128018,401172,
1913,2557.46246170405,24495.534778,52933.4177810103,19288,5131.25906728436,13677.09823,126320,225676.749483,7575.93405003278,44819,9942,110665,24038,23814,4962.469375578,11581.7493,27266,16654,14486,675174,72580,22556.1926346,7832,50794.0418360004,132084,401172,
1914,2543.92746302258,22104.022862,47977.8512722413,17350,5104.10262383702,12299.806,114000,203248.152,7535.83951925724,41437,9709,97817,19404,21500,4477.980886062,10415.46,16520,15420,13250,678986,67201,20284.77012,7050,50525.2217459419,128994,354646,
1915,103.616122436189,20691.234703,131.397594819368,,207.894026101669,,,,306.940540418978,51300,,,11510,,4191.768805503,,21500,,,,64844,,,2057.9311472674,,354646,
1916,876.872227831091,24935.419967,1111.9785125318,,1759.34491210875,,,,2597.54591429167,61296,10487,,20976,,5051.584261167,,26397,15103,19203,,67406,,,17415.6552802743,139329,354646,
1917,,22451.607,0,,,,,,,,10780,,30305,,4548.396807,,35600,,,,,,,,143220,354646,
1918,684.968776646157,20332.008991,868.622060559134,,1374.31235007468,,,,2029.0730972236,43058,12093,,50067,,4118.994456591,,44820,21016,23291,,44290,,,13604.2398347214,160669,354646,
1919,1344.17213411555,25265.541744,,,2696.92930177973,,,,3981.82166598292,56731,14747,,58086,,5118.462540144,,36047,23785,22234,,62482,,,26696.7498594519,195919,354646,1704.57049823275
1920,1091.8340984565,23831.133519,,,2190.64158382297,,,,3234.32435366891,53732,13579,,45491,,4827.870521919,,33656,13658,19479,,60806,,,21685.0365178064,180410,354646,1384.57578903619
